ID,Number,From,To,WaitToBoard,TotalTime
300,5,1,2,91,101
298,4,1,5,95,120
301,5,1,2,15,26
303,2,1,2,13,24
306,3,1,6,7,39
304,4,2,6,24,42
302,3,3,2,61,71
305,5,3,2,57,67
307,6,1,3,75,89
308,4,1,5,73,99
309,2,4,5,6,14
311,6,5,2,10,25
310,3,1,6,38,58
312,5,4,6,9,27
313,4,4,6,6,24
318,4,6,3,17,34
319,1,6,2,13,40
316,5,6,1,17,52
320,3,3,1,32,48
314,4,1,5,62,86
315,4,1,6,59,93
321,2,4,6,63,81
322,4,3,1,94,106
317,5,5,6,134,143
323,6,6,1,3,29
325,2,2,1,18,26
326,2,1,2,27,37
327,6,1,5,24,53
324,2,4,5,50,58
328,5,6,3,60,75
329,1,3,6,3,17
331,4,6,1,13,39
332,2,2,1,30,38
330,2,2,3,50,58
333,2,3,1,3,14
335,1,1,2,11,21
340,1,1,2,3,13
334,4,1,4,12,34
339,3,1,6,5,41
337,6,4,6,30,42
336,5,3,1,59,76
338,2,2,1,67,75
341,2,1,4,73,93
343,4,2,6,76,99
342,6,2,1,121,130
345,2,2,1,6,14
346,2,1,2,13,24
348,2,1,2,8,19
351,4,2,4,14,31
349,6,1,6,4,46
350,3,1,2,65,73
344,5,3,4,94,103
347,6,3,5,108,120
354,1,4,3,11,19
352,4,5,1,3,31
357,2,1,3,22,34
356,4,1,4,26,48
355,3,3,4,42,51
360,1,4,5,36,44
353,1,3,6,45,73
358,4,6,5,60,69
361,3,3,2,78,86
359,2,4,1,74,98
362,3,1,2,3,11
363,2,6,3,27,41
364,5,1,2,9,19
372,4,3,4,15,24
368,2,1,5,0,37
371,1,4,5,27,35
365,5,6,2,55,74
366,4,6,1,51,79
370,4,1,4,74,90
369,5,1,5,75,100
367,6,6,3,113,128
373,6,2,3,6,15
374,2,6,1,26,51
380,2,4,1,25,39
377,5,1,2,43,53
376,2,1,4,45,68
375,2,2,6,61,83
378,5,1,6,97,118
379,6,1,6,138,159
384,1,6,5,3,11
383,3,5,3,15,32
385,5,4,1,17,37
382,5,1,3,47,66
381,5,1,4,198,226
389,3,5,6,70,78
390,1,6,5,79,88
391,3,6,1,76,108
388,5,4,1,96,111
392,3,1,2,109,117
386,2,2,3,125,134
387,2,2,3,123,132
394,4,1,2,9,18
393,4,2,6,20,44
396,5,5,6,33,42
397,1,5,6,33,42
398,5,5,1,50,79
399,4,3,1,58,75
400,5,5,6,91,100
395,3,2,1,129,137
401,3,1,6,3,28
402,2,5,6,17,25
408,5,6,5,13,22
403,4,5,3,34,46
404,3,2,1,53,61
406,4,1,5,59,79
405,6,1,6,61,90
409,1,1,4,103,120
407,2,1,6,107,135
410,5,1,6,103,131
411,2,1,6,99,127
412,3,4,1,9,23
414,4,1,2,17,28
415,4,3,4,34,43
416,6,1,6,12,58
421,3,5,6,41,49
413,5,6,5,69,78
419,1,4,2,76,87
417,4,5,1,70,98
418,1,1,2,99,108
420,5,1,3,95,112
422,3,5,6,9,17
424,6,5,1,17,40
426,3,2,1,29,37
423,2,2,5,54,68
425,1,2,6,48,70
427,4,1,2,18,27
429,1,1,3,12,31
428,1,2,6,26,48
430,4,6,1,46,72
431,3,2,1,61,69
432,6,6,2,18,37
434,3,6,1,14,42
437,4,1,4,38,59
436,2,2,5,50,71
433,3,4,5,69,77
435,3,1,6,43,83
439,4,6,5,77,86
441,2,1,2,99,109
438,5,2,5,116,131
440,5,1,6,100,135
445,4,1,2,8,19
444,2,2,4,25,36
443,4,1,5,14,47
446,2,4,5,29,37
442,2,1,6,18,60
447,6,5,6,6,15
451,5,1,2,28,39
450,1,2,4,44,61
449,4,3,4,53,62
448,5,1,5,33,72
456,3,1,3,8,26
452,1,1,4,15,41
457,2,1,5,8,42
453,4,2,6,21,54
455,6,3,1,65,82
454,2,2,1,78,86
458,5,1,6,82,103
459,3,2,1,15,23
460,3,1,5,24,41
462,3,2,1,12,25
468,2,2,1,3,11
461,4,1,2,27,37
463,4,1,4,25,48
465,1,2,6,32,56
469,2,4,6,38,49
470,2,3,2,59,67
464,3,1,3,89,106
467,2,1,3,82,99
466,6,2,6,112,130
474,2,1,2,13,22
471,3,1,3,18,36
475,3,2,4,23,39
473,1,6,1,51,77
472,4,2,1,68,77
477,3,1,2,1,10
478,2,1,2,1,10
476,1,1,6,3,30
479,6,1,3,18,30
480,1,3,6,32,46
481,2,3,2,12,20
487,6,2,1,3,12
483,4,1,3,27,40
482,3,1,5,28,59
485,4,4,6,42,59
484,2,4,2,74,86
486,2,4,1,67,89
488,6,2,1,74,83
489,4,6,5,18,28
491,2,6,5,17,27
493,2,6,1,13,46
495,2,2,1,33,41
490,4,1,2,52,62
492,4,1,4,50,72
497,3,1,2,80,90
496,2,1,5,80,104
494,4,1,6,82,114
498,4,1,6,132,153
499,1,3,1,12,30
500,3,2,1,19,29
501,5,2,1,19,29
503,4,2,5,32,53
502,5,4,5,47,56
504,4,4,1,60,75
64,4,5,1,75,-1
142,5,6,1,75,-1
